BookRestaurant,GetWeather,PlayMusic	BookRestaurant,GetWeather,PlayMusic
I-playlist	B-entity_name	
I-playlist	I-entity_name	
I-playlist	I-entity_name	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-city	B-geographic_poi	
I-city	I-geographic_poi	
I-geographic_poi	I-geographic_poi	
I-geographic_poi	B-timeRange	
I-geographic_poi	I-timeRange	
I-geographic_poi	I-timeRange	
I-geographic_poi	I-timeRange	
I-geographic_poi	I-timeRange	
I-geographic_poi	I-timeRange	
I-geographic_poi	I-timeRange	


BookRestaurant,GetWeather,SearchScreeningEvent	BookRestaurant,GetWeather,SearchScreeningEvent
O	O	
O	O	
B-restaurant_type	B-restaurant_type	
O	O	
B-restaurant_type	B-country	
O	O	
B-party_size_number	B-party_size_number	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B-condition_description	
O	O	
B-city	B-timeRange	
I-city	I-timeRange	
O	O	
B-city	B-city	
I-city	I-city	
O	B-state	
O	O	
O	O	
O	O	
B-object_type	B-object_type	
O	O	
B-object_type	B-spatial_relation	
I-object_type	B-movie_type	
B-location_name	I-movie_type	


GetWeather,PlayMusic,RateBook	GetWeather,PlayMusic,RateBook
O	O	
O	O	
O	O	
O	B-condition_description	
O	O	
O	O	
B-city	B-city	
I-city	B-state	
O	O	
B-city	B-timeRange	
I-city	I-timeRange	
O	O	
O	O	
O	O	
O	O	
B-artist	B-sort	
I-artist	O	
O	O	
B-artist	B-artist	
I-artist	I-artist	
O	I-artist	
O	O	
O	O	
O	O	
B-object_select	B-object_select	
B-object_type	B-object_type	
O	O	
B-rating_value	B-rating_value	


BookRestaurant,SearchScreeningEvent	BookRestaurant,SearchScreeningEvent
O	O	
O	O	
O	O	
O	O	
O	O	
B-restaurant_type	B-restaurant_type	
O	O	
B-restaurant_type	O	
I-party_size_description	B-served_dish	
I-party_size_description	O	
I-party_size_description	B-city	
I-party_size_description	O	
O	O	
O	O	
O	O	
B-restaurant_type	B-party_size_number	
O	O	
O	O	
O	B-movie_type	
B-movie_type	I-movie_type	
O	O	
O	O	
O	B-spatial_relation	
B-spatial_relation	I-spatial_relation	
I-spatial_relation	I-spatial_relation	
I-spatial_relation	O	
I-spatial_relation	O	


GetWeather,SearchScreeningEvent	GetWeather,SearchCreativeWork,SearchScreeningEvent
O	O	
O	O	
O	O	
O	O	
O	O	
B-city	B-condition_description	
I-city	O	
B-state	B-current_location	
O	B-timeRange	
B-city	I-timeRange	
I-city	I-timeRange	
I-city	I-timeRange	
O	O	
O	O	
O	O	
B-object_type	B-object_type	
I-object_type	B-object_name	
B-object_type	I-object_name	
O	O	
O	O	
O	O	
O	O	
B-object_type	B-movie_type	
I-object_type	B-object_type	
B-object_type	I-object_type	
I-object_type	B-spatial_relation	


BookRestaurant,PlayMusic	BookRestaurant,PlayMusic
O	B-timeRange	
O	I-timeRange	
O	I-timeRange	
O	I-timeRange	
O	B-party_size_description	
O	I-party_size_description	
O	I-party_size_description	
O	I-party_size_description	
O	I-party_size_description	
O	O	
O	O	
O	O	
O	B-cuisine	
O	O	
O	O	
O	O	
B-restaurant_type	B-restaurant_type	
O	O	
B-party_size_number	B-spatial_relation	
O	B-state	
O	O	
O	O	
O	O	
O	O	
B-artist	B-artist	
I-artist	I-artist	


BookRestaurant,PlayMusic,SearchCreativeWork	BookRestaurant,SearchCreativeWork
O	O	
O	O	
O	O	
O	O	
O	B-spatial_relation	
O	O	
O	B-city	
B-restaurant_type	B-timeRange	
B-restaurant_type	I-timeRange	
O	I-timeRange	
B-party_size_number	I-timeRange	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-artist	B-object_type	
I-artist	I-object_type	
O	B-object_name	
B-artist	I-object_name	
I-artist	I-object_name	
O	I-object_name	


AddToPlaylist,SearchCreativeWork	AddToPlaylist,GetWeather
O	O	
B-artist	B-entity_name	
I-artist	I-entity_name	
O	O	
B-playlist_owner	B-playlist_owner	
B-playlist	B-playlist	
I-playlist	I-playlist	
I-playlist	I-playlist	
I-playlist	I-playlist	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-object_type	B-timeRange	
O	B-spatial_relation	
O	I-spatial_relation	
I-spatial_relation	I-spatial_relation	
I-spatial_relation	I-spatial_relation	
O	O	
B-city	B-state	
B-city	I-state	


GetWeather,PlayMusic	GetWeather,PlayMusic
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-city	B-country	
I-city	O	
B-state	B-timeRange	
I-geographic_poi	I-timeRange	
O	O	
O	O	
O	O	
O	O	
B-artist	B-sort	
I-artist	B-music_item	
I-artist	I-music_item	
O	O	
B-artist	B-artist	
I-artist	O	
I-artist	O	
I-artist	B-year	


PlayMusic,SearchCreativeWork,SearchScreeningEvent	PlayMusic,SearchScreeningEvent
O	O	
O	O	
O	O	
O	O	
O	O	
B-artist	B-music_item	
I-artist	O	
O	O	
B-artist	B-year	
O	O	
O	O	
O	O	
O	O	
O	O	
B-object_type	B-movie_name	
I-object_type	I-movie_name	
O	O	
O	O	
O	O	
B-object_type	B-object_location_type	
I-object_type	I-object_location_type	


AddToPlaylist,PlayMusic	AddToPlaylist,PlayMusic
O	O	
B-artist	B-entity_name	
I-artist	I-entity_name	
O	O	
B-playlist	B-playlist_owner	
I-playlist	I-playlist_owner	
I-playlist	B-playlist	
I-playlist	I-playlist	
I-playlist	I-playlist	
I-playlist	I-playlist	
I-playlist	I-playlist	
I-playlist	I-playlist	
O	O	
O	O	
O	O	
O	O	
B-artist	B-music_item	
I-artist	O	
O	O	
B-artist	B-year	


GetWeather,RateBook	GetWeather,RateBook
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-city	B-city	
I-city	I-city	
O	O	
B-city	B-timeRange	
I-city	I-timeRange	
I-city	I-timeRange	
O	O	
O	O	
O	O	
B-object_name	B-object_name	
I-object_name	I-object_name	
I-object_name	I-object_name	
I-object_name	B-rating_value	


AddToPlaylist,BookRestaurant	AddToPlaylist,BookRestaurant
O	O	
B-artist	B-artist	
I-artist	I-artist	
O	O	
B-playlist	B-playlist	
I-playlist	I-playlist	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-restaurant_type	B-restaurant_type	
O	O	
B-party_size_number	B-city	
I-timeRange	I-city	
I-timeRange	B-state	


AddToPlaylist,PlayMusic	AddToPlaylist,PlayMusic
O	O	
O	O	
B-music_item	B-music_item	
O	O	
B-playlist	O	
I-playlist	B-playlist	
I-playlist	I-playlist	
I-playlist	I-playlist	
O	O	
O	O	
O	O	
O	O	
O	B-artist	
O	I-artist	
B-artist	B-music_item	
I-artist	O	
O	O	
O	O	
B-artist	B-sort	


AddToPlaylist,PlayMusic	AddToPlaylist,PlayMusic
O	O	
B-artist	B-entity_name	
I-artist	I-entity_name	
O	I-entity_name	
B-playlist	I-entity_name	
I-playlist	I-entity_name	
O	O	
O	O	
B-playlist	B-playlist	
I-playlist	I-playlist	
O	O	
O	O	
O	O	
O	B-track	
O	I-track	
B-artist	I-track	
I-artist	O	
I-artist	B-artist	
I-artist	I-artist	


PlayMusic	PlayMusic,RateBook
O	O	
O	O	
B-artist	B-music_item	
I-artist	O	
I-artist	B-artist	
I-artist	I-artist	
O	O	
B-artist	B-service	
O	O	
O	O	
O	O	
B-object_type	B-object_part_of_series_type	
I-object_type	B-object_name	
O	I-object_name	
O	O	
B-object_type	B-rating_value	
B-rating_value	B-rating_unit	
O	O	
O	O	


BookRestaurant,PlayMusic	BookRestaurant,PlayMusic
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-restaurant_type	O	
B-restaurant_type	B-facility	
B-restaurant_type	B-restaurant_type	
O	O	
O	O	
O	O	
O	O	
B-party_size_number	B-party_size_number	
O	O	
O	O	
O	O	
B-artist	B-artist	
I-artist	I-artist	


AddToPlaylist,GetWeather	AddToPlaylist,GetWeather
O	O	
B-music_item	B-music_item	
O	O	
B-playlist_owner	B-playlist_owner	
B-playlist	B-playlist	
I-playlist	I-playlist	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B-condition_description	
O	B-timeRange	
B-city	I-timeRange	
O	O	
B-city	B-state	


RateBook,SearchCreativeWork	RateBook,SearchCreativeWork
O	O	
O	O	
B-object_select	B-object_select	
B-object_type	B-object_type	
B-rating_value	B-rating_value	
B-rating_unit	B-rating_unit	
O	O	
O	O	
B-best_rating	B-best_rating	
O	O	
O	O	
O	B-object_name	
O	I-object_name	
O	I-object_name	
O	I-object_name	
B-object_name	I-object_name	
I-object_name	O	
I-object_name	B-object_type	


BookRestaurant,SearchCreativeWork	BookRestaurant,SearchScreeningEvent
O	B-restaurant_name	
O	I-restaurant_name	
O	I-restaurant_name	
O	B-restaurant_type	
O	O	
B-restaurant_type	B-timeRange	
O	I-timeRange	
O	O	
B-party_size_number	B-party_size_description	
I-timeRange	I-party_size_description	
I-timeRange	I-party_size_description	
I-timeRange	I-party_size_description	
O	O	
O	O	
O	O	
B-object_type	B-movie_name	
I-object_type	I-movie_name	
B-object_type	I-movie_name	


PlayMusic,RateBook	PlayMusic,RateBook
O	O	
B-artist	O	
I-artist	B-music_item	
I-artist	O	
O	O	
B-artist	B-year	
O	O	
O	O	
O	O	
O	O	
B-object_select	B-object_select	
B-object_type	B-object_part_of_series_type	
B-rating_value	I-object_part_of_series_type	
B-rating_value	B-rating_value	
O	O	
O	O	
B-best_rating	B-best_rating	
B-rating_unit	B-rating_unit	


AddToPlaylist	AddToPlaylist,RateBook
O	O	
B-artist	O	
I-artist	B-artist	
O	I-artist	
B-playlist	O	
I-playlist	B-playlist_owner	
I-playlist	B-playlist	
I-playlist	I-playlist	
I-playlist	I-playlist	
I-playlist	I-playlist	
O	O	
O	O	
O	B-object_select	
O	B-object_type	
O	O	
O	O	
B-object_name	B-rating_value	


AddToPlaylist,RateBook	AddToPlaylist,RateBook
O	O	
B-artist	B-artist	
I-artist	I-artist	
O	O	
B-playlist	B-playlist_owner	
I-playlist	I-playlist_owner	
I-playlist	B-playlist	
I-playlist	I-playlist	
O	O	
O	O	
O	O	
O	B-object_name	
B-object_name	I-object_name	
I-object_name	I-object_name	
I-object_name	I-object_name	
I-object_name	O	
I-object_name	B-rating_value	


GetWeather,PlayMusic	GetWeather,PlayMusic
O	O	
O	O	
O	O	
O	O	
O	O	
B-city	B-city	
I-city	B-state	
O	O	
O	O	
O	O	
O	O	
B-artist	O	
I-artist	B-artist	
I-artist	I-artist	
I-artist	B-music_item	
I-artist	O	


AddToPlaylist,PlayMusic	AddToPlaylist,PlayMusic
O	O	
O	B-entity_name	
B-music_item	I-entity_name	
O	I-entity_name	
O	O	
B-playlist	B-playlist	
I-playlist	I-playlist	
I-playlist	I-playlist	
O	O	
O	O	
O	O	
B-artist	B-music_item	
I-artist	B-track	
O	I-track	
O	I-track	
B-service	I-track	


AddToPlaylist,GetWeather	AddToPlaylist,GetWeather
O	O	
B-music_item	B-entity_name	
O	O	
B-playlist_owner	B-playlist_owner	
B-playlist	B-playlist	
I-playlist	I-playlist	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B-city	
O	O	
O	O	
B-city	B-state	


SearchCreativeWork,SearchScreeningEvent	SearchScreeningEvent
O	O	
O	O	
B-object_type	B-object_type	
O	O	
O	B-movie_name	
B-object_name	I-movie_name	
I-object_name	I-movie_name	
I-object_name	I-movie_name	
I-object_name	I-movie_name	
O	O	
O	O	
B-object_name	B-spatial_relation	
I-object_name	B-object_location_type	
I-object_name	B-timeRange	
I-object_name	I-timeRange	
I-object_name	I-timeRange	


AddToPlaylist,PlayMusic,SearchCreativeWork	PlayMusic,SearchCreativeWork
O	O	
B-artist	O	
O	O	
B-artist	B-playlist	
I-artist	O	
I-artist	B-service	
O	O	
O	O	
O	O	
O	O	
B-object_type	B-object_type	
I-object_type	I-object_type	
B-object_name	B-object_name	
I-object_name	I-object_name	
I-object_name	I-object_name	


AddToPlaylist	AddToPlaylist,BookRestaurant
O	O	
B-music_item	B-music_item	
O	O	
B-playlist_owner	B-playlist_owner	
O	O	
B-playlist	B-playlist	
I-playlist	I-playlist	
O	O	
O	O	
O	B-restaurant_type	
O	I-restaurant_type	
O	O	
O	B-country	
O	O	
B-city	B-party_size_number	


PlayMusic,SearchCreativeWork	PlayMusic,SearchCreativeWork
O	O	
O	B-track	
B-artist	I-track	
O	O	
B-artist	B-artist	
I-artist	I-artist	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-object_type	B-object_name	
I-object_type	I-object_name	
B-object_type	B-object_type	


BookRestaurant	BookRestaurant
O	O	
O	O	
O	O	
O	O	
O	O	
B-restaurant_type	B-cuisine	
B-restaurant_type	B-restaurant_type	
O	O	
O	B-state	
O	O	
B-party_size_number	B-party_size_description	
O	I-party_size_description	
O	I-party_size_description	
O	I-party_size_description	
O	I-party_size_description	


GetWeather,PlayMusic	GetWeather,SearchCreativeWork
O	O	
O	O	
O	O	
O	O	
O	O	
B-city	B-city	
O	O	
O	O	
O	O	
O	O	
B-service	B-object_type	
I-artist	I-object_type	
O	B-object_name	
O	I-object_name	
B-service	I-object_name	


BookRestaurant	BookRestaurant
O	O	
O	O	
O	O	
O	O	
O	O	
B-restaurant_type	B-sort	
O	B-cuisine	
O	B-restaurant_type	
O	O	
O	B-spatial_relation	
O	O	
O	O	
O	O	
B-party_size_number	B-timeRange	


AddToPlaylist,RateBook	AddToPlaylist,RateBook
O	O	
B-artist	B-music_item	
O	O	
B-playlist	B-playlist	
I-playlist	O	
O	O	
O	O	
O	B-object_name	
O	I-object_name	
B-object_select	I-object_name	
O	O	
B-rating_value	B-rating_value	
B-rating_unit	B-rating_unit	


RateBook	RateBook
O	O	
O	O	
B-object_select	O	
B-object_type	B-object_type	
O	B-object_name	
O	I-object_name	
O	I-object_name	
B-object_select	I-object_name	
B-object_type	I-object_name	
O	O	
B-rating_value	B-rating_value	
B-rating_unit	O	


PlayMusic	PlayMusic,RateBook
O	O	
O	O	
O	O	
B-artist	B-artist	
I-artist	I-artist	
I-artist	B-music_item	
O	O	
O	B-object_select	
O	B-object_type	
O	O	
O	O	
B-object_type	B-rating_value	


BookRestaurant	BookRestaurant
O	O	
O	O	
O	O	
O	O	
B-restaurant_type	B-party_size_number	
O	O	
O	O	
B-city	B-country	
O	I-country	
O	I-country	
B-party_size_number	I-country	


SearchCreativeWork	SearchCreativeWork
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-object_type	B-object_type	
I-object_type	B-object_name	
B-object_name	I-object_name	
I-object_name	I-object_name	
I-object_name	I-object_name	


GetWeather,PlayMusic	GetWeather
O	O	
B-artist	B-timeRange	
I-artist	O	
O	O	
O	O	
O	O	
O	B-current_location	
O	O	
O	O	
O	O	
B-timeRange	B-condition_temperature	


GetWeather	GetWeather
O	O	
O	O	
O	O	
O	B-condition_temperature	
O	O	
B-city	O	
B-city	B-current_location	
I-city	I-current_location	
O	B-timeRange	
B-city	I-timeRange	
B-city	I-timeRange	


BookRestaurant,GetWeather	BookRestaurant
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-party_size_number	B-party_size_number	
I-timeRange	O	
O	O	
B-city	B-city	
I-city	B-state	


GetWeather	GetWeather
O	O	
O	O	
O	B-condition_description	
O	O	
B-timeRange	B-geographic_poi	
I-timeRange	I-geographic_poi	
I-timeRange	I-geographic_poi	
I-timeRange	I-geographic_poi	
I-timeRange	I-geographic_poi	


BookRestaurant	BookRestaurant
O	O	
O	O	
B-restaurant_type	B-restaurant_type	
O	O	
B-restaurant_type	B-cuisine	
O	O	
B-party_size_number	B-timeRange	
I-timeRange	I-timeRange	
I-timeRange	I-timeRange	


GetWeather	GetWeather
O	O	
O	O	
O	O	
B-movie_type	B-timeRange	
I-spatial_relation	O	
O	O	
B-city	B-state	
B-city	I-state	


AddToPlaylist	AddToPlaylist
O	O	
O	O	
B-music_item	B-music_item	
O	O	
B-playlist_owner	B-playlist_owner	
B-playlist	B-playlist	
I-playlist	I-playlist	
I-playlist	O	


SearchCreativeWork	SearchCreativeWork
O	O	
O	O	
O	O	
O	O	
O	O	
B-object_type	B-object_type	
I-object_type	B-object_name	
B-object_name	I-object_name	


SearchCreativeWork	SearchCreativeWork
O	O	
O	O	
B-object_type	B-object_type	
I-object_type	I-object_type	
O	O	
B-object_name	B-object_name	
I-object_name	I-object_name	
I-object_name	I-object_name	


SearchScreeningEvent	SearchScreeningEvent
O	O	
O	B-movie_type	
O	O	
O	O	
O	O	
B-location_name	B-location_name	
I-location_name	I-location_name	


PlayMusic	SearchCreativeWork
O	O	
O	O	
O	B-object_name	
O	I-object_name	
O	I-object_name	
O	I-object_name	


SearchScreeningEvent	SearchScreeningEvent
O	O	
O	O	
O	O	
B-object_type	O	
I-object_type	B-object_type	
B-object_type	I-object_type	


GetWeather,SearchScreeningEvent	SearchScreeningEvent
O	O	
O	B-movie_type	
O	O	
O	O	
B-location_name	B-location_name	
I-location_name	I-location_name	


AddToPlaylist	AddToPlaylist
O	O	
B-artist	B-artist	
I-artist	I-artist	
O	O	
B-playlist	B-playlist	
I-playlist	I-playlist	


SearchScreeningEvent	SearchScreeningEvent
O	O	
O	B-object_type	
B-object_type	I-object_type	
O	O	
B-object_type	B-location_name	
I-object_type	I-location_name	


SearchCreativeWork,SearchScreeningEvent	SearchScreeningEvent
O	O	
O	O	
B-object_type	B-object_type	
I-object_type	I-object_type	


SearchCreativeWork	SearchScreeningEvent
O	O	
O	B-movie_name	
B-object_type	I-movie_name	


BookRestaurant,GetWeather,SearchCreativeWork	BookRestaurant,GetWeather,SearchCreativeWork
O	O	
O	O	
O	O	
B-restaurant_type	B-spatial_relation	
O	B-poi	
B-party_size_number	I-poi	
O	I-poi	
O	I-poi	
O	O	
O	O	
O	B-sort	
O	I-sort	
O	O	
O	O	
B-party_size_number	B-cuisine	
O	I-cuisine	
B-city	B-restaurant_type	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-city	B-city	
I-city	I-city	
B-city	B-state	
O	O	
B-city	B-timeRange	
I-city	I-timeRange	
O	O	
O	O	
O	O	
O	O	
O	O	
B-object_type	B-object_type	
I-object_type	I-object_type	
B-object_name	B-object_name	
I-object_name	I-object_name	
I-object_name	I-object_name	
I-object_name	I-object_name	


BookRestaurant,GetWeather,RateBook	BookRestaurant,GetWeather,RateBook
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-restaurant_type	B-sort	
O	I-sort	
B-restaurant_type	B-restaurant_type	
O	O	
B-restaurant_type	B-cuisine	
O	B-spatial_relation	
O	B-state	
B-party_size_number	B-timeRange	
I-timeRange	I-timeRange	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-city	B-condition_temperature	
O	O	
B-city	B-timeRange	
I-city	I-timeRange	
O	O	
B-city	B-state	
O	O	
O	O	
O	O	
B-object_select	B-object_select	
B-object_type	B-object_part_of_series_type	
O	O	
O	O	
B-rating_value	B-rating_value	
O	O	
B-best_rating	B-best_rating	
B-rating_unit	B-rating_unit	


BookRestaurant,GetWeather,SearchCreativeWork,SearchScreeningEvent	AddToPlaylist,GetWeather,SearchScreeningEvent
O	O	
O	O	
O	O	
O	B-artist	
O	I-artist	
B-restaurant_type	B-music_item	
O	O	
B-party_size_number	B-playlist_owner	
O	B-playlist	
O	I-playlist	
O	I-playlist	
O	I-playlist	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-city	O	
I-city	O	
B-country	B-city	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-object_type	B-object_type	
I-object_type	I-object_type	
O	O	
B-object_type	B-location_name	
I-object_type	I-location_name	


GetWeather,PlayMusic,SearchScreeningEvent	GetWeather,PlayMusic,SearchScreeningEvent
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-city	B-timeRange	
I-city	I-timeRange	
O	O	
B-city	B-state	
O	O	
O	O	
O	O	
O	O	
B-artist	B-artist	
I-artist	I-artist	
O	O	
O	O	
B-service	O	
I-artist	B-year	
O	O	
O	O	
O	O	
B-object_type	B-movie_name	
O	I-movie_name	
O	I-movie_name	
B-object_type	I-movie_name	
O	O	
O	O	
O	O	
B-object_type	B-spatial_relation	
I-object_type	B-object_location_type	
O	O	
B-location_name	B-timeRange	


BookRestaurant,GetWeather,SearchCreativeWork,SearchScreeningEvent	BookRestaurant,SearchCreativeWork,SearchScreeningEvent
O	O	
O	O	
O	O	
B-restaurant_type	B-timeRange	
O	O	
O	O	
B-restaurant_type	B-restaurant_type	
O	O	
B-restaurant_type	B-party_size_number	
O	O	
O	O	
B-restaurant_type	B-served_dish	
